,index,1751,1752,1753,1754,1755,1756,1757,1758,1759,1760,1761,1762,1763,1764,1765,1766,1767,1768,1769,1770,1771,1772,1773,1774,1775,1776,1777,1778,1779,1780,1781,1782,1783,1784,1785,1786,1787,1788,1789,1790,1791,1792,1793,1794,1795,1796,1797,1798,1799,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
38,"Congo, the Democratic Republic of",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.67,7.33,80.7,161.0,216.0,172.0,238.0,231.0,282.0,304.0,389.0,249.0,51.3,3.67,18.3,33.0,40.3,103.0,121.0,88.0,77.0,103.0,143.0,220.0,172.0,172.0,312.0,326.0,374.0,477.0,1480.0,1750.0,2090.0,2290.0,2820.0,3390.0,3180.0,3330.0,2930.0,2700.0,2320.0,2360.0,2170.0,2290.0,1980.0,2470.0,2400.0,2290.0,3370.0,3650.0,2710.0,2960.0,3020.0,3190.0,3370.0,3240.0,3410.0,3480.0,3530.0,3740.0,3490.0,3760.0,3050.0,4000.0,3930.0,3610.0,3350.0,3820.0,3980.0,4360.0,4250.0,3140.0,2810.0,2660.0,1700.0,2110.0,2310.0,1880.0,1660.0,1320.0,894.0,769.0,851.0,1040.0,1150.0,1450.0,1550.0,1700.0,1810.0,1700.0,1960.0,2440.0,2360.0,3540.0,4640.0,2790.0,2000.0,1990.0,2040.0
39,Congo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187.0,224.0,268.0,238.0,235.0,268.0,246.0,308.0,323.0,451.0,502.0,572.0,686.0,664.0,1220.0,1620.0,1100.0,1240.0,480.0,323.0,348.0,406.0,471.0,1340.0,1140.0,1140.0,1280.0,1060.0,1320.0,1490.0,1500.0,1180.0,1260.0,1560.0,1530.0,2140.0,1560.0,1710.0,2340.0,777.0,821.0,1050.0,766.0,576.0,917.0,950.0,972.0,1110.0,1200.0,1300.0,1730.0,1960.0,2240.0,2950.0,3210.0,3110.0,3150.0,3180.0,3180.0,3230.0
40,Costa Rica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,286.0,312.0,389.0,433.0,407.0,348.0,484.0,462.0,447.0,385.0,491.0,491.0,550.0,601.0,675.0,847.0,993.0,876.0,1040.0,1150.0,1250.0,1530.0,1760.0,2050.0,1910.0,2040.0,2080.0,2610.0,2910.0,2780.0,2450.0,2240.0,2070.0,2090.0,1980.0,2240.0,2580.0,2730.0,2910.0,2940.0,2910.0,3290.0,3740.0,3890.0,5200.0,4810.0,4690.0,4920.0,5240.0,5440.0,5400.0,5670.0,6230.0,6530.0,6800.0,6690.0,6970.0,7900.0,7920.0,7690.0,7430.0,7220.0,7180.0,7560.0,7680.0,7340.0,7850.0,7820.0,8070.0
41,Côte d'Ivoire,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,499.0,546.0,462.0,554.0,587.0,623.0,763.0,1170.0,1240.0,1360.0,1600.0,1890.0,2240.0,2460.0,2710.0,2880.0,3250.0,3990.0,3960.0,4060.0,4820.0,5420.0,5570.0,3870.0,5560.0,4520.0,5140.0,6990.0,5580.0,7360.0,8810.0,8270.0,4790.0,4310.0,3850.0,5100.0,4140.0,6120.0,7340.0,7020.0,6590.0,5940.0,6470.0,7400.0,6960.0,5140.0,7340.0,7500.0,6820.0,6540.0,6600.0,5520.0,6070.0,6350.0,8350.0,9530.0,9750.0,9410.0,7880.0,7990.0,8400.0
42,Croatia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5240.0,5720.0,6000.0,6160.0,6850.0,7760.0,7980.0,7910.0,7990.0,8550.0,8860.0,11600.0,12500.0,11700.0,14000.0,14000.0,14600.0,15100.0,14700.0,16400.0,17800.0,17500.0,19100.0,17500.0,18900.0,19900.0,20300.0,21200.0,20700.0,21400.0,21300.0,23400.0,17200.0,16500.0,17000.0,16200.0,16900.0,17500.0,18600.0,19300.0,20100.0,19700.0,20800.0,21900.0,23300.0,22900.0,23400.0,23600.0,24900.0,23700.0,21900.0,21100.0,20700.0,19100.0,18500.0,17700.0,17900.0,18100.0,18700.0,18600.0
43,Cuba,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,84.3,84.3,88.0,110.0,169.0,191.0,183.0,183.0,5610.0,6480.0,6290.0,6200.0,5960.0,6780.0,5850.0,13900.0,18000.0,15700.0,13700.0,12200.0,14200.0,13000.0,14300.0,14600.0,15200.0,15700.0,16000.0,17300.0,18700.0,19600.0,20800.0,22400.0,22900.0,27100.0,27200.0,29400.0,30600.0,31700.0,31300.0,32700.0,34400.0,30700.0,32500.0,32400.0,33400.0,33800.0,35400.0,35500.0,32800.0,28900.0,21000.0,19800.0,21300.0,25600.0,26900.0,24500.0,24400.0,25200.0,26000.0,25400.0,26000.0,25400.0,24900.0,25900.0,26300.0,25800.0,27800.0,28000.0,33900.0,29200.0,29500.0,27800.0,27400.0,29100.0,28100.0,28100.0,28600.0
44,Cyprus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,268.0,282.0,315.0,367.0,444.0,451.0,675.0,818.0,766.0,832.0,887.0,865.0,905.0,986.0,1000.0,1150.0,1240.0,1360.0,1620.0,1670.0,1700.0,1890.0,2410.0,2510.0,1930.0,1990.0,2490.0,2700.0,2850.0,3050.0,3260.0,3100.0,3160.0,3150.0,3240.0,3150.0,3610.0,4190.0,4200.0,4430.0,4660.0,5150.0,5520.0,5770.0,6010.0,5880.0,6240.0,6320.0,6620.0,6880.0,7130.0,7010.0,7200.0,7590.0,7820.0,8010.0,8200.0,8520.0,8680.0,8430.0,8070.0,7760.0,7220.0,6540.0,6930.0,6950.0,7360.0,7530.0,7500.0
45,Czechia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203.0,667.0,1130.0,1600.0,2070.0,2530.0,3000.0,3460.0,3930.0,4400.0,4870.0,5330.0,5800.0,6260.0,6730.0,7200.0,12400.0,13100.0,13700.0,14700.0,15600.0,16500.0,16800.0,18000.0,18600.0,19500.0,20500.0,21500.0,23100.0,24500.0,26100.0,27100.0,27500.0,28100.0,28800.0,29900.0,30700.0,32500.0,33200.0,34000.0,33800.0,35300.0,35800.0,36500.0,36800.0,37900.0,39600.0,41600.0,42400.0,42100.0,41700.0,42200.0,44900.0,47000.0,42800.0,42700.0,45500.0,42700.0,36400.0,34400.0,34100.0,32800.0,29300.0,30900.0,38000.0,35700.0,36200.0,38900.0,40900.0,45800.0,40400.0,37800.0,32900.0,30100.0,30100.0,31000.0,33600.0,40700.0,46700.0,51300.0,57800.0,58200.0,62800.0,69300.0,66100.0,35100.0,43600.0,49500.0,53500.0,56300.0,57900.0,61700.0,66000.0,68400.0,73100.0,75800.0,81400.0,85000.0,92900.0,92900.0,99100.0,108000.0,115000.0,121000.0,126000.0,122000.0,122000.0,121000.0,127000.0,135000.0,155000.0,162000.0,164000.0,164000.0,166000.0,174000.0,181000.0,186000.0,188000.0,183000.0,185000.0,183000.0,181000.0,181000.0,187000.0,185000.0,186000.0,184000.0,181000.0,172000.0,164000.0,149000.0,145000.0,139000.0,132000.0,132000.0,135000.0,131000.0,125000.0,117000.0,127000.0,127000.0,124000.0,127000.0,128000.0,126000.0,127000.0,128000.0,123000.0,115000.0,118000.0,115000.0,111000.0,106000.0,104000.0,105000.0,107000.0,106000.0,106000.0
46,Denmark,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.0,158.0,209.0,227.0,172.0,312.0,271.0,341.0,312.0,334.0,359.0,458.0,455.0,649.0,664.0,491.0,627.0,543.0,785.0,678.0,755.0,649.0,1020.0,939.0,917.0,1090.0,946.0,1140.0,1190.0,1140.0,1150.0,1240.0,1460.0,1540.0,1530.0,1450.0,1640.0,1860.0,1970.0,2120.0,2430.0,2420.0,2540.0,2430.0,2490.0,2810.0,3000.0,2870.0,3090.0,3170.0,3000.0,3400.0,3530.0,4320.0,4630.0,4810.0,5250.0,5150.0,5360.0,5510.0,5730.0,6180.0,6010.0,6550.0,5840.0,7240.0,8010.0,7360.0,7840.0,9290.0,9530.0,9770.0,10500.0,10200.0,7440.0,8680.0,8240.0,7200.0,6800.0,9660.0,10500.0,12400.0,10700.0,10500.0,13300.0,12600.0,15100.0,13800.0,14300.0,13400.0,13400.0,14700.0,15300.0,15800.0,16300.0,14600.0,16300.0,14800.0,17400.0,16500.0,20600.0,20300.0,14100.0,17700.0,21500.0,17100.0,16900.0,22000.0,21900.0,22900.0,23200.0,25600.0,27100.0,26400.0,24900.0,26800.0,26100.0,29800.0,31700.0,36900.0,40700.0,43200.0,44300.0,50100.0,49100.0,53300.0,59400.0,62100.0,57100.0,59600.0,59300.0,55100.0,55800.0,60200.0,61900.0,61100.0,63000.0,60400.0,51800.0,53700.0,50200.0,50900.0,60100.0,59000.0,58400.0,55200.0,48800.0,53600.0,64200.0,58400.0,60700.0,64700.0,61600.0,74900.0,65500.0,61300.0,58700.0,54300.0,55900.0,55600.0,60700.0,55100.0,51500.0,59500.0,54700.0,51300.0,48900.0,49200.0,44200.0,39900.0,41800.0,37600.0,35200.0,37000.0,34800.0,34800.0
47,Djibouti,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,25.7,25.7,29.3,33.0,36.7,29.3,44.0,47.7,36.7,40.3,44.0,47.7,66.0,84.3,121.0,139.0,88.0,121.0,84.3,139.0,161.0,191.0,180.0,194.0,198.0,198.0,198.0,202.0,363.0,348.0,301.0,348.0,348.0,352.0,359.0,378.0,389.0,348.0,389.0,323.0,337.0,337.0,337.0,330.0,330.0,334.0,348.0,341.0,341.0,367.0,367.0,400.0,422.0,407.0,414.0,411.0,462.0,499.0,458.0,517.0,473.0,480.0,556.0,594.0,607.0,600.0,629.0,645.0
48,Dominica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.67,7.33,3.67,3.67,3.67,3.67,3.67,7.33,11.0,11.0,11.0,11.0,14.7,14.7,14.7,14.7,22.0,22.0,18.3,25.7,25.7,25.7,25.7,29.3,29.3,29.3,25.7,25.7,33.0,36.7,36.7,40.3,40.3,44.0,47.7,47.7,47.7,55.0,58.7,58.7,58.7,58.7,62.3,66.0,80.7,73.3,80.7,77.0,80.7,103.0,110.0,103.0,117.0,143.0,143.0,143.0,183.0,165.0,161.0,172.0,154.0,165.0,169.0,176.0,176.0,180.0,181.0,183.0
